Types de métiers recherchés,Expérience professionnelle,Compétences,Formation,Compétences clés,Langues,Plus d'informations
" Informatique, nouvelles technologies Marketing, communication"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Télécom IT & Web Developer Amazing Tech Center 11.2019 - 03.2020 Web Développeur & IT . Développer Les Nouveaux Outils de Digital Marketing E-mailing (TOOLS & APIs). Création de www.amazingtechcenter.com . IT Support Calcul du Charge FTTH Aymane Ousbouane Bakioui 08.2020 - 07.2021 Maîtrise de l'utilisation de COMAC & CAPFT ( plusieurs clients ) et Plans ( AutoCad et Qgiz ). Expérience dans la prise de responsabilité de la communication avec les clients"," creative & talent  I hope to find what I am looking for here , and I want to thank every person visited my profil . I also hope to help any one want a solution. and finaly I want to start programming with a team . 'cause I like the teamwork"," Niveau d'études : Bac+2 technicien spécialisé en développement informatique ISMONTIC Tanger 09.2016 - 06.2018 Le Technicien Spécialisé en Développement Informatique est un professionnel en charge du dèyeloppement et de la maintenance des applications informatiques. Il intervient, generalement pour le compte de Societes de Services et d'lngenierie Informatiques, dans de nombreux domaines applicatifs (industrie, gestion, loisirs. . ).  En amont, il est receptif aux attentes du client, il etudie le cahier des charges, les capacites de l'environnement technique  et les contraintes du‘ système de production du client. En aval, il participe a la mise en exploitation et au support technique de l‘application. Formation dans la création des sites Web Collége La Sale 05.2018 - 05.2018 Attestation de la création des sites Web , Web Désign ....", Communication Marketing, Anglais Bon niveau Arabe Maternelle Français Intermédiaire, Disponibilité : immédiatement Mobilité géographique : Tanger-Tétouan-Al Hoceïma Lieu de résidence : Tanger Types de contrats acceptés : CDI - CDD - Intérim - Stage - Freelance
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Banque, assurance, finances Informatique, SSII, Internet Éducation, formation Ingenieur infrastructure Groupe fililale attijari 01.2012 - 10.2024", Competence englobe la formation et l'expertise pour un ingenieur informatique avec 12 ans d'experience en infrastructure SI, Niveau d'études : Bac+5 et plus Ingenierie reseaux systemes et securité FST 10.2014 - 10.2016 Formation solide au domaine d'Ingenierie reseaux systemes et securité,, Anglais Bon niveau Arabe Maternelle Français Bon niveau, Disponibilité : dans 1 mois Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Freelance - Temps partiel
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Télécom conseiller client support technique projet microsoft teleperformance 10.2023 - 01.2025 Technicien de support chez Teleperformance, impliqué dans le projet Microsoft, notamment sur Intune, Exchange et Teams."," Excel, Word, PowerPoint, Outlook, Intune, Exchange, Azure, OV, Vm Ware, Linux, Windows, Teams."," Niveau d'études : Bac+2 technicien spécialisé en cyber sécurité Ofppt ntic hay riad 10.2021 - 08.2023 Un technicien spécialisé en cybersécurité un professionnel formé pour protéger les systèmes informatiques, les réseaux et les données contre les cybermenaces.", Support Support Technique Technicité, Anglais Bon niveau Arabe Maternelle Français Maternelle, Disponibilité : immédiatement Mobilité géographique : Rabat-Salé-Kénitra Lieu de résidence : Rabat Types de contrats acceptés : CDI
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Ingénierie, études développement Software Development Engineer SiliconeSignal Technologies Depuis 10.2020 • Designed and implemented scalable backend systems using Laravel PHP and Python, adhering to microservices architecture and SOLID principles. • Collaborated in system design architecture for complex systems, integrating edge computing with cloud computing to optimize performance, scalability, and cost-efficiency. • Developed and maintained RESTful APIs focusing on API best practices, clean code, and edge computing solutions. • Wrote comprehensive tests for Laravel APIs using PestPHP, ensuring high code quality and reliability. • Deployed and managed services on AWS EC2 instances. • Automated deployment pipelines and streamlined workflows using Jenkins for CI/CD. • Built and optimized Docker containers for efficient application deployment and orchestration. • Integrated MQTT for real-time communication in IoT-based systems, enhancing data processing and reliability. • Wrote shell scripts to automate repetitive tasks, improving system efficiency and reducing manual intervention. • Transitioned from a full-stack developer role (using Laravel, VueJS, and Flutter) to specialize in backend engineering, focusing on system architecture and performance optimization."," PHP, Laravel, VueJS, Nuxt3, Docker, CI/CD, Git, Github Actions, AWS, Jenkins, Python, Bash Scripting, Linux, Mysql, Postgresql, Redis, MQTT, Web Sockets"," Niveau d'études : Bac+5 et plus Master (M2) AI and Data Science Université Sorbonne Paris Nord 10.2019 - 08.2020 - Data Science - Data Engineering - Computer Vision - Machine Learning & Deep Learning Web Intelligence and Data Science Université Sidi Mohamed Ben Abdellah 10.2018 - 08.2020 - Data Science - Data Engineering & Data Mining - Computer Vision - Machine Learning & Deep Learning - Web Services and APIs - Business Intelligence Science Mathematique et Informatique Université Ibn Zohr 10.2015 - 08.2018 - Data structures & Algorithms - C/C++, Java, and PHP Programming - Math: Probabilities and Statistics, Algebra. - UML and Databases - Android applications development with Java and Web APIs with PHP - Linux and Security", LARAVEL PHP MYSQL DOCKER CI/CD Github Actions GIT GITLAB JENKINS VueJS PYTHON LINUX AMAZON AWS, Anglais Bon niveau Arabe Maternelle Berbère Maternelle Français Bon niveau, Disponibilité : dans 2 mois Mobilité géographique : Agadir - Casablanca-Mohammedia - Fès - Marrakech-Safi - Meknès - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Meknes Types de contrats acceptés : CDI - CDD - Freelance - Temps partiel
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Recherche et développement Agent de saisie HÔPITAL BOUAFI 08.2024 - 12.2024 Saisie et gestion des données administratives des patients Mise à jour des dossiers des patients pendant leur séjour aux urgences Enregistrement des hospitalisations et des admissions des patients CAISSIER CARREFOUR 09.2022 - 10.2022 Gestion des transactions (espèces, cartes, chèques) et utilisation des systèmes de caisse. Suivi des stocks et réapprovisionnement des produits. Gestion des retours et échanges en conformité avec la politique de l'entreprise. COLLABORATEUR LUXTECHWEB 10.2022 - 01.2023 Enregistrement et gestion de données sur Google Sheets, incluant les informations personnelles des clients (noms, prénoms, numéros de téléphone, etc.). Collaboration à distance avec l'équipe canadienne pour répondre à des besoins spécifiques en gestion de données."," Excel,word,Google Sheets,Java,Html,Css", Niveau d'études : Bac+2 Baccalauréat Lycée oued eddahab 10.2012 - 07.2013 Technique développement informatique institut spécialise de technologie appliquée ntic2  sidi maarouf 10.2013 - 07.2015 Technique de développement informatique Institut supérieur de la technologie NTIC 2 Sidi Maarouf 05.2014 - 03.2018, Saisie de Données Saisie Informatique EXCEL WORD, Anglais Débutant Arabe Maternelle Français Intermédiaire, Disponibilité : immédiatement Mobilité géographique : Agadir - Casablanca-Mohammedia - Marrakech-Safi - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : CASABLANCA Types de contrats acceptés : CDI - CDD - Intérim - Stage - Freelance - Alternance - Temps partiel - Statutaire
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Administration publique Banque, assurance, finances Informatique, SSII, Internet Ingénierie, études développement Santé, pharmacie, hôpitaux, équipements médicaux Développeur Informatique HighWave Creations 06.2011 - 06.2012 le développement d’applications basées sur de nouvelles technologies, l’analyse, le développement et le test des applications informatiques, l’installation d’un cadre permettant de répondre de manière réactive aux demandes régulières d’extractions / analyses de données métiers, l’évolution et la maintenance de systèmes décisionnels basés sur des requêtes métier SQL, l’usage de l’outil Microsoft SQL Server, Excel, PowerPivot, SGBD DB2/400, IT Manager INWI / Guermai 07.2012 - 08.2014 Concevoir, mettre en oeuvre et maintenir le système d'information Gérer le réseau et le parc informatique Administrer le réseau, gérer la configuration Concevoir des programmes informatiques. Adapter ces programmes aux besoins des utilisateurs. Définir les permissions et contrôles d'accès sur la base et gérer les certificats. Administrateur : Sage ERP X3 Techniquement Parlant : Scripting (shells (unix et powershell), perl, awk, python) Active Directory. Windows Server 2008 R2 et 2012 R2. Linux distribution DEBIAN – RED HAT et CENTOS. Sage ERP X3 - CRM /HRM /Achats /Ventes /Production. Crystal Reports. Développement du site officiel sous PHP / MYSQL / CSS / HTML /XML Développement de l’application MAESTRO sous VB.NET / SQL SERVER / CRYSTAL REPORT / ETATS Développement d'un moteur de réservation en ligne sous PHP / MYSQL Utilisation de SAS, Hypérion, Teradata, SQL Server Création de configuration de sauvegardes et de restaurations. Automatisation et planification des travaux d'administration. IT Manager Saham Group / Kendo 09.2014 - 03.2017 Participer à la définition de la stratégie et des objectifs en matière de développement informatique. Administrateur : SAP Serveur Proxy SQUID sous UBUNTU. Assurer l’organisation, le suivi et la validation des développements informatiques. Mettre en place des projets d’évolution en fonction des besoins des utilisateurs. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Assurer le reporting informatique auprès de la direction. Gérer les performances de la base de données. Installer et paramétrer la base de données. Techniquement Parlant : Virtualisation VMWARE – VCENTER – VSPHERE. Office 365 Configuration Cisco firewall asa 5505 Développement d’outils de suivi et de synthèse de l’activité en Java, PHP et MySQL. SAP- CRM /HRM /Achats /Ventes /Production. Crystal Reports. Améliorer le système d'information. Développement des évolutions de tri des flux de données, comme TemPost, sous StreamWeaver et Unix. Développement un BackOffice sous Symfony 2. DNS Microsoft et BIND Linux Formation de l’équipe (Emission / Réception)."," AngularJs 2 Système réseau (LAN, MAN, WAN) Système de messagerie COGNOS TALEND SYMFONY MS BI Système d'exploitation W/L Active Directory Sage ERP X3 SAP ERP Active directory Ionic 2 SGBD SIAD SQL SERVER 2012 Microsoft Dynamics NAV 2013 Win Server 2008 / 2012 PROXY SQUID Laravel 5 SQUID VMWARE ORACLE Odoo ERP Linux", Niveau d'études : Bac+5 et plus Bac+5 ESMA 09.2010 - 06.2012 Spécialités : développement et administration de bases de données. Master Miage Jules Vers Picardie -  Amiens 09.2010 - 06.2012 Spécialités : Systèmes d’Information et Informatique Nomade SIIN. Licence Pro ESMA 09.2007 - 06.2010 Génie informatique. Baccalauréat Abo abass sabti 09.2007 - 08.2008 Spécialités : Sciences Expérimentales Ms Microsoft / IBM / Talend / Symfony Microsoft / IBM / Talend / Sensiolabs 07.2017 - 09.2017 - Expert Cognos Certification - Microsoft BI Certification - Talend Developer Certification - Symfony Certification Certification, BI COGNOS DYNAMICS NAV IBM IONIC LARAVEL LINUX MICROSOFT MICROSOFT BI ORACLE PROXY SAP SQL SYMFONY TALEND VMWARE WAN, Anglais Bon niveau Arabe Courant Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Agadir - Casablanca-Mohammedia - Fès - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : CASABLANCA Types de contrats acceptés : CDI - CDD
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet developer web AMDD 07.2023 - 08.2023 ""Créez une application de chat pour Laravel."" developer web world wide progress 08.2023 - 11.2023 Création d'une application de gestion des ressources humaines. Technologies: (Laravel Bootstrap ) developer web swedgi 03.2023 - 05.2023 Création d'une application qui permet la gestion d'un cabinet fiduciaire d'expertise comptabilité et audit Technologies: (Symfony Bootstrap Docker webpack jquery) Developpeur full stack Smartflow technologe 12.2023 - 12.2024 Developpeur full stack Groupe Access Depuis 12.2024"," Django, python, laravel, React, angular, php, javascript, uml, bootstrap, Tailwind .."," Niveau d'études : Bac+3 génie informatique fstg 07.2022 - 07.2023 Ma formation se base sur le développement web, les applications mobiles, les bases de données et les systèmes d'exploitation.", LARAVEL REACT Angular wordpr bootstra tailwind PHP symfon DJANGO PYTHON POSTGRESQL lunix, Français Intermédiaire, Disponibilité : immédiatement Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Marrakech-Safi - Rabat-Salé-Kénitra - Settat Lieu de résidence : Taroudant Types de contrats acceptés : CDI - CDD - Freelance - Temps partiel
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Développeur Web et Mobile XELLENTECH 07.2019 - 08.2019 Stage 1 mois Développeur Web FOR BETTER HEALTH 08.2019 - 09.2019 Stage 1 mois Développeur Web UP EDUCATION 03.2020 - 03.2020 Stage 1 mois Développeur Web I2TECH 05.2020 - 06.2020 Stage 1 mois Community Manager & Rédacteur d'articles DAWA2I 12.2021 - 09.2023 Responsable Technique (CTO) SALMIA Depuis 01.2021 Création et maintenance du s ite, S EO, consulting Développeur Web/Webmaster FOR BETTER HEALTH/FBH MANA R2 Depuis 07.2020 Création de s ites w eb/Optimi sation S EOGes tion d'un s y s tème de la santé des patient sGes tion L M S /animation d’une plateforme E - learningSupport technique et informatiqueGes tion de w ebinaires et réunions( logiciel s /matériel s )Communication avec des organi sations et cl ient sGes tion de communauté et mar ketingD es ign & création des fl yer s et v idéosConduite d'entretiens pour de nouveaux employésSui v i des normes de certification I SO 9001 v . 2015T raduction et doublage(Anglai s , F rançai s , Arabe)"," Compétences techniques et langages de programmation:Développement web : HTML, CSS, JavaScript, PHP, WordPressFrameworks : React.js, LaravelBase de données : SQL, MongoDBAutres langages de programmation : C, C++, C#Microsoft Office 365 et Adobe Creative SuiteDesign(Photoshop, Canva, éditeurs vidéo)Leadership, créativité et résolution de problèmesLeader de ma promotionPermis de conduire de catégorie B", Niveau d'études : Bac+4 Science techniques électrique Lycée technique mohammedia 09.2014 - 06.2015 Baccalaureate Etude Anglaises Université Hassan 2 FLSH Mohammedia 09.2015 - 06.2018 Licence Développement informatique ISTA OFPPT Mohammedia 09.2018 - 09.2020 Diplome technicien specialisé Psychologie Université Hassan 2 mohammedia 09.2020 - 06.2024 Licence Développement Web et Mobile ENSET Mohammedia 09.2023 - 06.2024 Licence, Mouad SBAYLIDéveloppeur Web | ITWebmasterCréateur de contenuSer v ice cl ientT raducteurFormateur, Allemand Bon niveau Anglais Courant Arabe Maternelle Français Courant Italien Débutant Japonais Débutant, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra Lieu de résidence : Mohammedia Types de contrats acceptés : CDI
" Informatique, nouvelles technologies Secrétariat, assistanat Transport, logistique"," Expérience dans les secteurs d´activité suivants : Espaces verts, forêts, chasse Immobilier, architecture, urbanisme Ingénierie, études développement Secrétariat Éducation, formation non renseigné"," Pragmatique, sérieuse, toujours à l’heure, gestion de stress et de pression."," Niveau d'études : Bac+3 Géomatique et aménagement du territoire Faculté des sciences et techniques Béni Mellal 10.2018 - 07.2024 Elle a été très enrichissante, j’ai appris à maîtriser tout ce qui la  concerne. Elle a été aussi exigeante juste pour d’être pragmatique mais de toute façon quand on aime quelque chose, on fait tout pour y réussir.",, Anglais Courant Arabe Maternelle Français Bon niveau Italien Débutant Turc Débutant, Disponibilité : dans 1 mois Mobilité géographique : Béni Mellal-Khénifra Lieu de résidence : Béni Mellal Types de contrats acceptés : CDI - CDD
" Commercial, vente Informatique, nouvelles technologies Marketing, communication"," Expérience dans les secteurs d´activité suivants : Activités associatives Administration publique Centres d´appel, hotline, call center Distribution, vente, commerce de gros Recherche et développement Mailler Operating media sarl 12.2015 - 03.2016 Mailler c un operateur de marketing network par emial", Prsent1tion et communixation Commerce ntowrk Travail avc equipes rt seul, Niveau d'études : Bac+2 TSDI Ita rt imouzzer fes 09.2012 - 10.2014 Diplome technicien specilaise dedevloppement informaytiue, Communication Marketing Vente, Anglais Bon niveau Arabe Maternelle Espagnol Débutant Français Bon niveau, Disponibilité : non renseigné Mobilité géographique : Agadir - Casablanca-Mohammedia - Fès - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Fes Types de contrats acceptés : CDI - CDD - Intérim - Freelance - Alternance - Temps partiel - Statutaire
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Opérateur OPTI SENT 04.2017 - 04.2018 •	Gestion des campagnes d’emailing massives pour divers projets •	Analyse des résultats et amélioration des performances des campagnes"," •	Front-end: HTML5, CSS3, JavaScript •	Back-end: PHP, Laravel, Python, Django •	Base de données : MySQL, SQLServer •	Programmation: C, C++, C#, Python •	Email Marketing, Odoo ERP", Niveau d'études : Bac+2 Techniques de Développement Informatique ISTA AGADIR 09.2014 - 07.2016 Technicien Spécialisé en Techniques de Développement Informatique, Développeur web ODOO PYTHON DJANGO LARAVEL, Anglais Bon niveau Arabe Maternelle Français Intermédiaire, Disponibilité : immédiatement Mobilité géographique : Agadir - Casablanca-Mohammedia - Rabat-Salé-Kénitra Lieu de résidence : AIT MELLOUL Types de contrats acceptés : CDI - Freelance
" Informatique, nouvelles technologies Marketing, communication Secrétariat, assistanat Télémarketing, téléassistance"," Expérience dans les secteurs d´activité suivants : Centres d´appel, hotline, call center Distribution, vente, commerce de gros Informatique, SSII, Internet Recherche et développement Sport, action culturelle et sociale non renseigné"," En tant que développeur web, mes compétences incluent le développement front-end (HTML, CSS, JavaScript, frameworks comme React, Vue.js), le développement back-end (Node.js, PHP, Python, bases de données SQL et NoSQL), l'intégration API, le responsive design, l'optimisation des performances et la gestion de projets avec Git.", Niveau d'études : Bac+2 Développement web Ista 08.2021 - 06.2023, développement web, Anglais Intermédiaire Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : El jadida Types de contrats acceptés : CDI - CDD - Intérim - Stage - Freelance - Anapec
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Web developer SAMA DESIGN 01.2020 - 07.2021 Agent Mailer E-MATREX 08.2021 - 05.2023 Web developer SMART DEALS 06.2023 - 09.2023 Web developer Connect Brands Agency 03.2024 - 04.2024 Web developer & Help desk Certi Call Depuis 06.2024"," Je m'appelle Fatima Zahrae et je suis développeuse web spécialisée dans les technologies HTML, CSS, JavaScript, PHP, Laravel et MySQL. Depuis plusieurs années, je crée des sites web dynamiques et interactifs en utilisant ces langages et frameworks. Mon expertise en HTML et CSS me permet de concevoir des interfaces utilisateur attrayantes et réactives, tandis que mes compétences en JavaScript ajoutent des fonctionnalités interactives et enrichissantes. En tant que développeuse back-end, j'utilise PHP et Laravel pour construire des applications web robustes et sécurisées, et je gère efficacement les bases de données avec MySQL.", Niveau d'études : Bac+3 technicien spécialisé en développement informatique ISTAG BAB TIZIMI 09.2018 - 06.2020 Diplôme Bac+3 Frameworks de développement web et Java EE ENSA FES Depuis 11.2024,, Anglais Courant Arabe Maternelle Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Fès - Meknès - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Meknes Types de contrats acceptés : CDI - CDD - Freelance - Alternance - Temps partiel
" Informatique, nouvelles technologies Management, direction générale R&D, gestion de projets Transport, logistique"," Expérience dans les secteurs d´activité suivants : Import, export Industrie, production, fabrication, autres Informatique, SSII, Internet Ingénierie, études développement Transports, logistique, services postaux SAP Supply Chain SOA People Paris Depuis 03.2022", SAP SD/MM Management de Projet Optimisation Supply Chain Transport et logistique Analyse de données, Niveau d'études : Bac+5 et plus ingénieur e-Logistique ENSIAS 09.2016 - 08.2019 Management et Administration des entreprises IAE Toulon 09.2019 - 08.2020 Management Supply Chain IAE Paris Sorbonne 09.2020 - 09.2021, SAP Supply Chain Analyse donnée SAP SD SAP MM Business Management, Anglais Courant Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Marrakech-Safi - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Paris Types de contrats acceptés : CDI
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Stagiaire développeur full stack Zamani Telecom (ex Orange Niger) 06.2024 - 11.2024 Le service client de Zamani Telecom a envisagé d'introduire la demande de faisabilité afin d'automatiser le traitement des demandes d'exemption pour les erreurs d'envoi de crédit ou d'abonnement. Cette automatisation améliore également le délai de traitement des demandes des clients en dehors des heures de service, les week-ends et les jours fériés. Elle réduit notamment le risque de rejet des demandes des clients dont le bonus expire ou a été épuisé pendant le délai de validation. Pour mon deuxième projet, Zamani Telecom Niger a lancé divers projets de modernisation, d'internalisation et d'extension de son infrastructure et de ses services. C'est dans ce contexte qu'est apparue la nécessité d'internaliser la solution InterConnect, qui permet aux équipes des départements Wholesale, Finance et Technique de gérer, de surveiller et de piloter tous les aspects liés au trafic d'interconnexion national et international, tels que la facturation, la qualité vocale et le routage grâce à l'analyse des CDR (call details records). Stagiaire développeur full stack Mfcpole technopole de Compétitivité Monastir-El Fejja 02.2024 - 05.2024 La technopole de Compétitivité Monastir-El Fejja, assure entre autres, l’incubation et l’accompagnement des startups et des porteurs de projets innovants. Dans ce contexte, elle gère un incubateur nommé « La Fabrique Entrepreneuriale » qui dispose de différents types de ressources telles que des locaux (salle des séminaires, salle de formation, bureaux, salle de réunion), un espace dans le coworking space (chaise ou box), des équipements d’un Fablab. Ces ressources sont mises à la disposition des porteurs de projets. Le MFCPOLE visait à développer une plateforme de réservation en ligne de ces ressources. Stagiaire développeur full stack Palais des Sciences de Monastir 02.2022 - 06.2022 Le Palais des Sciences de Monastir est un établissement public à caractère non administratif sous la tutelle du ministère de l'Enseignement supérieur et de la Recherche scientifique. Son objectif principal est de créer une dynamique intellectuelle, culturelle et scientifique auprès des différentes catégories de citoyens. Ma mission consistait à développer un site web dynamique pour le Palais des Sciences de Monastir, avec des fonctionnalités telles qu'un blog ou un espace d'actualités, des pages de contenu contenant également des PDF ou des vidéos, la possibilité d'archiver des galeries de photos et de vidéos, un calendrier pour consulter les événements, un formulaire de capture d'e-mails pour alimenter les bases de données, un service d'e-mailing, le partage de liens vers les réseaux sociaux et un formulaire de contact."," HTML, CSS, JAVASCRIPT, PYTHON, ASP.NET, LARAVEL, SPRINGBOOT, ANGULAR, FLUTTER, REACT", Niveau d'études : Bac+5 et plus Master en Ingenierie des sysrèmes d'information Faculté des sciences de monastir 10.2022 - 01.2024 Licence en génie logiciel et système d'information Faculté des sciences de monastir 10.2019 - 06.2022, Logiciel Informatique, Anglais Intermédiaire Français Courant, Disponibilité : immédiatement Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Freelance
" Achats Informatique, nouvelles technologies Métiers des services Transport, logistique"," Expérience dans les secteurs d´activité suivants : Banque, assurance, finances Informatique, SSII, Internet Nettoyage, sécurité, surveillance Transports, logistique, services postaux CHEF DE GROUPE CRÉDIT DU MAROC Depuis 05.2012 DIRECTION DES  IMMEUBLES ET LOGISTIQUE DÉPARTEMENT DE SÉCURITÉ DES BIENS ET DES PERSONNES(SÉCURITÉ PHYSIQUE ET ELECTRONIQUE) Assistant technique B2S Depuis 02.2019 Agent du service à la clientèle Xceed 09.2019 - 01.2020 Service client d'un opérateur téléphonique Canadien Agent du service clients Amazon 10.2020 - 05.2021"," Gestion des anomalies de la sécurité physique et électronique  avec les prestataires (intrusion, incendie, vidéosurveillance,  contrôle d’accès, coffres forts, porte fortes, armoires fortes,  caisses temporisées, vigiles) Gestion de stocks du matériel de la sécurité physique et  électronique Suivi de tous les dispositifs de sécurité dans les chantiers en  cours. Suivi de facturation. VECTIS et BUSINESS OBJECT  Intégration de matériels informatique. Identification et qualification des incidents informatique.  Maintenance corrective et préventive, entretien et réparation des  machines. informatique et assemblage des ordinateurs. Réalisation et configuration des réseaux locaux et d’internet, des  routeurs et des switchs. Recouvrement.", Niveau d'études : Bac+4 SYSTÈMES ET RÉSEAUX EURELEC 09.2008 - 07.2010 ADMINISTRATEUR RÉSEAUX INFORMATIQUES + DIPLÔME DE MAINTENANCE INFORMATIQUE Maintenance informatique Eurelec 10.2006 - 07.2008, Achats Facturation Transport Gestion des Recouvrements Sécurité Électronique Sécurité physique, Anglais Intermédiaire Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma Lieu de résidence : CASABLANCA Types de contrats acceptés : CDI
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet non renseigné"," Développer des sites web e-commerce(HTML, CSS, JavaScript, PHP, Python, Bootstrap) Gestion de bases de données(SQL, PLSQL, postgreSQL, MySQL, phpMyAdmin) Système d’information Développement mobile Marketing digital Programmation orientée objet (Java) Digitalisation des processus Transformation Digitale"," Niveau d'études : Bac+3 Système d’information et transformation digitale Facultés des sciences et techniques Settat Depuis 10.2024 Actuellement en licence Sciences et Techniques en Systèmes d’Information et Transformation Digitale à la FST de Settat, je recherche un stage de fin d’études (PFE) de deux mois à partir d’avril 2025. Passionnée par la digitalisation et la transformation numérique, je souhaite intégrer votre équipe pour appliquer mes compétences et contribuer activement à vos projets innovants.  J’ai acquis des compétences en développement web et mobile, gestion et optimisation de bases de données, ainsi qu’en analyse et visualisation de données. J’ai travaillé sur des projets concrets tels que :  Une plateforme de gestion de projets en Java avec des fonctionnalités collaboratives. Un site e-commerce dynamique (HTML, CSS, JavaScript, PHP, SQL) améliorant l’expérience utilisateur et les processus de commande. Des tableaux de bord analytiques (Tableau BI) facilitant la prise de décision. Je maîtrise plusieurs technologies clés : Java, Python, PHP, JavaScript, MySQL, PL/SQL, Git, UML, Merise, ainsi que des outils de digitalisation (Odoo, WordPress, HubSpot). Curieuse, rigoureuse et proactive, je suis motivée à apprendre et à contribuer efficacement à votre entreprise.", developpement informatique, Anglais Courant Arabe Maternelle Français Courant, Disponibilité : dans 2 mois Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra - Settat Lieu de résidence : Kénitra Types de contrats acceptés : Stage
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Développeur full stack ZAIM Digital 05.2024 - 07.2024 Auto-Entrepreneur ZAIM Digital Depuis 10.2024"," PHP, Laravel, Symfony, Java, Spring Boot HTML, CSS, JavaScript, TypeScript, Angular, React PostgreSQL, MySql, MongoDB Jira, Trello, Agile scrum", Niveau d'études : Bac+2 Diplôme Technicien Spécialisé en Développement digital option web full stack OFPPT 09.2021 - 07.2023 Développeur Full stack Youcode Depuis 09.2023, Logiciel Informatique Business Development, Anglais Bon niveau Arabe Maternelle Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Youssoufia Types de contrats acceptés : CDI - CDD - Freelance
